x,y,name
0,-0.2834465801715851,action 0
100,-0.2834465801715851,action 0
200,-0.2834465801715851,action 0
300,-0.2834465801715851,action 0
400,-0.2834465801715851,action 0
500,-0.2834465801715851,action 0
600,-0.2834465801715851,action 0
700,-0.2834465801715851,action 0
800,-0.2834465801715851,action 0
900,-0.2834465801715851,action 0
1000,-0.2834465801715851,action 0
1100,-0.35398751497268677,action 0
1200,-0.3163240849971771,action 0
1300,-0.32116878032684326,action 0
1400,-0.34903520345687866,action 0
1500,-0.39390069246292114,action 0
1600,-0.4387148320674896,action 0
1700,-0.48347705602645874,action 0
1800,-0.528186559677124,action 0
1900,-0.5728400349617004,action 0
2000,-0.617434561252594,action 0
2100,-0.661972165107727,action 0
2200,-0.7064448595046997,action 0
2300,-0.750860333442688,action 0
2400,-0.7952143549919128,action 0
2500,-0.8395063877105713,action 0
2600,-0.8837417364120483,action 0
2700,-0.927921712398529,action 0
2800,-0.9720429182052612,action 0
2900,-1.0161017179489136,action 0
3000,-1.0601012706756592,action 0
3100,-1.104032039642334,action 0
3200,-1.1478897333145142,action 0
3300,-1.1916754245758057,action 0
3400,-1.2353851795196533,action 0
3500,-1.2790207862854004,action 0
3600,-1.3225867748260498,action 0
3700,-1.3660842180252075,action 0
3800,-1.4095063209533691,action 0
3900,-1.4528555870056152,action 0
4000,-1.4961131811141968,action 0
4100,-1.5392881631851196,action 0
4200,-1.582381248474121,action 0
4300,-1.6253870725631714,action 0
4400,-1.6683088541030884,action 0
4500,-1.711135745048523,action 0
4600,-1.753868818283081,action 0
4700,-1.7964913845062256,action 0
4800,-1.839006781578064,action 0
4900,-1.8814303874969482,action 0
5000,-1.923767328262329,action 0
5100,-1.9659847021102905,action 0
5200,-2.0080981254577637,action 0
5300,-2.0500941276550293,action 0
5400,-2.0919668674468994,action 0
5500,-2.1337180137634277,action 0
5600,-2.1753640174865723,action 0
5700,-2.216869831085205,action 0
5800,-2.258225679397583,action 0
5900,-2.2994370460510254,action 0
6000,-2.3405165672302246,action 0
6100,-2.3814191818237305,action 0
6200,-2.4221391677856445,action 0
6300,-2.4626643657684326,action 0
6400,-2.5030388832092285,action 0
6500,-2.5432636737823486,action 0
6600,-2.5833473205566406,action 0
6700,-2.623239040374756,action 0
6800,-2.6629655361175537,action 0
6900,-2.7024855613708496,action 0
7000,-2.7417826652526855,action 0
7100,-2.7808637619018555,action 0
7200,-2.819754123687744,action 0
